"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1101 - 台泥","股東會確認","110年 年度","110/01/01~110/12/31","1","111/04/11","111/05/26","     18,333,309,248","     20,256,366,275","     36,949,600,719","     24,367,253,917","1.00000000","0.0","0.0","      6,116,173,402","1.00000000","0.0","0.0","        611,617,340","本公司每年決算所得純益，除依法提繳所得
稅，彌補累積虧損，次提撥百分之十為法定
盈餘公積，但法定盈餘公積已達本公司實收
資本總額時，得不再提撥，其餘加計累積未
分配盈餘，必要時得依相關法令規定提撥或
迴轉特別盈餘公積或酌予保留盈餘後，就其
餘額於依本章程第五條之一規定分派特別股
股息後，再予分派普通股股利，分派比率依
本條第二項之股利政策由董事會擬訂盈餘分
派案提請股東會決議。
本公司除從事資本密集、較為成熟穩定之水
泥及水泥製品產銷外，並積極朝向多角化經
營。為配合多元化發展投資需要或重大之資
本預算規劃，訂定現金股利支付比率為普通
股股利之百分之二十以上，餘額配發股票股
利。","",
"1101B - 台泥乙特","股東會確認","110年 年度","110/01/01~110/12/31","1","111/04/11","111/05/26","     18,333,309,248","     20,256,366,275","     36,949,600,719","     24,367,253,917","1.75000000","0.0","0.0","        350,000,000","0.0","0.0","0.0","                  0","1.本公司特別股之權利義務及其他重要發行
條件如下： 
(1)特別股股息以年率百分之八為上限，按每
股發行價格計算，股息每年以現金一次發放，
於每年股東常會承認財務報告及盈餘分派議案
後，由董事會訂定基準日支付前一年度得發放
之股息。發行年度及收回年度股息之發放，按
當年度實際發行日數計算，發行日定義為發行
本特別股之增資基準日。 
(2)本公司對特別股之股息分派具自主裁量權
，得經股東會決議不分派特別股股息。倘年度
決算無盈餘或經股東會決議不分派股息，其未
分派之股息不累積於以後有盈餘年度遞延償付
(3)特別股股東除領取本項第二款所述之股息
外，不得參與普通股關於盈餘及資本公積為現
金及撥充資本之分派。
2.本公司每年決算所得純益，除依法提繳所得
稅，彌補累積虧損，次提撥百分之十為法定盈
餘公積，但法定盈餘公積已達本公司實收資本
總額時，得不再提撥，其餘加計累積未分配盈
餘，必要時得依相關法令規定提撥或迴轉特別
盈餘公積或酌予保留盈餘後，就其餘額於依本
章程第五條之一規定分派特別股股息後，再予
分派普通股股利，分派比率依本條第二項之股
利政策由董事會擬訂盈餘分派案提請股東會決
議。","",
"1102 - 亞泥","董事會決議","111年 第3季","111/07/01~111/09/30","1","111/11/09","不適用","     14,738,455,905","                  0","     14,738,455,905","     14,738,455,905","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為
之。盈餘分派以現金發放者，依公司法第二百二
十八條之一及第二百四十條第五項規定由董事會
決議辦理，並報告股東會。
本公司分派前三季盈餘時，應先預估並保留應納
稅捐、員工酬勞及董事酬勞，依法彌補虧損及提
列法定盈餘公積。但法定盈餘公積已達實收資本
額時，得不再提列。
本公司每年決算如有盈餘，於依法繳納營利事業
所得稅後，該本期稅後淨利加計本期稅後淨利以
外項目計入當年度未分配盈餘之數額後，應先彌
補虧損，如尚有盈餘，再提列法定盈餘公積百分
之十，但法定盈餘公積已達實收資本額時，得不
再提列，並依法令規定提列特別盈餘公積後，連
同期初未分配盈餘，作為可供分配之盈餘，惟得
視業務狀況酌予保留一部份後，按全部股份平均
分派股東紅利，但遇增加資本時，其當年度新增
股份應分派之紅利，依照股東會之決議辦理。
本公司將公積全部或一部以現金分派者，得由董
事會依公司法第二百四十一條規定決議辦理，並
報告股東會。
本公司股利應參酌所營事業景氣變化之特性，考
量各項產品或服務所處生命週期對未來資金之需
求與稅制之影響，在維持股利穩定之目標下分派
之。股利之發放，除有改善財務結構及支應轉投
資、產能擴充或其他重大資本支出等資金需求外
，不低於當年度稅後淨利扣除彌補虧損金額、法
定盈餘公積及特別盈餘公積後餘額之百分之五十
，其現金股利部分不低於當年度股東紅利之百分
之十。","無",
"1102 - 亞泥","董事會決議","111年 第2季","111/04/01~111/06/30","1","111/08/10","不適用","     14,738,455,905","                  0","     14,738,455,905","     14,738,455,905","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為
之。盈餘分派以現金發放者，依公司法第二百二
十八條之一及第二百四十條第五項規定由董事會
決議辦理，並報告股東會。
本公司分派前三季盈餘時，應先預估並保留應納
稅捐、員工酬勞及董事酬勞，依法彌補虧損及提
列法定盈餘公積。但法定盈餘公積已達實收資本
額時，得不再提列。
本公司每年決算如有盈餘，於依法繳納營利事業
所得稅後，該本期稅後淨利加計本期稅後淨利以
外項目計入當年度未分配盈餘之數額後，應先彌
補虧損，如尚有盈餘，再提列法定盈餘公積百分
之十，但法定盈餘公積已達實收資本額時，得不
再提列，並依法令規定提列特別盈餘公積後，連
同期初未分配盈餘，作為可供分配之盈餘，惟得
視業務狀況酌予保留一部份後，按全部股份平均
分派股東紅利，但遇增加資本時，其當年度新增
股份應分派之紅利，依照股東會之決議辦理。
本公司將公積全部或一部以現金分派者，得由董
事會依公司法第二百四十一條規定決議辦理，並
報告股東會。
本公司股利應參酌所營事業景氣變化之特性，考
量各項產品或服務所處生命週期對未來資金之需
求與稅制之影響，在維持股利穩定之目標下分派
之。股利之發放，除有改善財務結構及支應轉投
資、產能擴充或其他重大資本支出等資金需求外
，不低於當年度稅後淨利扣除彌補虧損金額、法
定盈餘公積及特別盈餘公積後餘額之百分之五十
，其現金股利部分不低於當年度股東紅利之百分
之十。","無",
"1102 - 亞泥","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/08","111/06/29","     13,390,084,156","     15,068,221,201","     26,793,400,946","     14,738,455,905","3.40000000","0.0","0.0","     12,054,945,041","0.0","0.0","0.0","                  0","本公司每年決算如有盈餘，於依法繳納營利事
業所得稅後，應先彌補歷年虧損，如尚有盈
餘，再以本期稅後淨利加計本期稅後淨利以外
項目計入當年度未分配盈餘之數額提列法定盈
餘公積百分之十，並依法令規定提列特別盈餘
公積後，連同上年度累積未分配盈餘，作為可
供分配之盈餘，惟得視業務狀況酌予保留一部
分後，按全部股份平均分派股東紅利，但遇增
加資本時，其當年度新增股份應分派之紅利，
依照股東會之決議辦理。
本公司股利應參酌所營事業景氣變化之特性，
考量各項產品或服務所處生命週期對未來資金
之需求與稅制之影響，在維持股利穩定之目標
下分派之。股利之發放，除有改善財務結構及
支應轉投資、產能擴充或其他重大資本支出等
資金需求外，不低於當年度稅後淨利扣除彌補
虧損金額、法定盈餘公積及特別盈餘公積後餘
額之百分之五十，其現金股利部分不低於當年
度股東紅利之百分之十。","",
"1103 - 嘉泥","股東會確認","110年 年度","110/01/01~110/12/31","1","111/05/03","111/06/14","      5,795,312,882","        657,847,983","      6,407,868,655","      5,905,194,049","0.65000000","0.0","0.0","        502,674,606","0.0","0.0","0.0","                  0","本公司每年決算如有當期稅後盈餘，除依法彌補累積虧損、提列法定盈餘公積外，另依法令規定提列或迴轉特別盈餘公積，並連同當期未分配盈餘調整數額，作為當期可供分派盈餘，加計期初未分配盈餘後，由董事會依據本條第四項及第五項之股利政策擬定盈餘分派案，提請股東會決議。
本公司採剩餘股利政策，於考量未來年度之資本支出預算及資金需求情形，得保留相當之數額；保留後如有餘額，再行分派股東紅利。
本公司股東紅利之分派，每年以現金分派之數額，為當年度股東紅利分派總額之百分之十以上，餘額配發股票股利。","",
"1104 - 環泥","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/28","111/06/14","      5,003,945,573","      1,088,078,375","      5,983,216,110","      5,329,606,918","1.00000000","0.0","0.0","        653,609,192","0.0","0.0","0.0","                  0","本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提 10%為法定盈餘公積
，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴
轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提
請股東會決議分派股東股息紅利。
本公司所處傳統產業環境正值穩定期，高科技產業環境正值萌芽期，考量本公司未來資
金需求及長期財務規劃，股東紅利之分派原則全數採用現金股利發放，但遇有資金較大
需求之年度時，得採股票股利與現金股利二種方式配合發放，其中股票股利所占比率不
高於股東紅利總額百分之五十。
前項股利分派比率，得視公司年度獲利情形及資金需求，經股東會決議調整之。","",
"1108 - 幸福","董事會決議","111年 上半年","111/01/01~111/06/30","1","111/11/10","不適用","        102,888,947","        171,746,591","        277,165,606","        277,165,606","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","第29條「....本公司盈餘分派或虧損撥補得於每半會計年度或會計年度終了後為之。
本公司盈餘分派或虧損撥補之議案，應連同營業報告書及財務報表交審計委員
會查核後，提董事會決議之。....」","無",
"1108 - 幸福","股東會確認","110年 下半年","110/07/01~110/12/31","1","111/03/30","111/06/30","         97,024,633","        262,205,318","        345,731,776","        102,888,947","0.60000000","0.0","0.0","        242,842,829","0.0","0.0","0.0","                  0","為考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年度決算後如有當期淨利，除彌補虧損外，應先提撥百分之十為法定盈餘公積及就當年度發生之帳列其他股東權益減項淨額提列特別盈餘公積，其餘額連同上一年度累積未分配盈餘及當年度未分配盈餘調整數額合計數提撥百分之四十至八十，如以上限百分之八十計算後每股分配之股利金額仍未滿新台幣一角者，得予保留不分配，餘由董事會擬定分配議案，提請股東會承認之。
前項盈餘提撥分派之比率及股票現金之比率得由董事會視當年度實際獲利及資金狀況，並考量投資資金需求及對每股盈餘之稀釋程度，適度採現金股利或股票股利方式發放。但配發股票股利以不超過已發行股本百分之二十為限。
本公司於分派可分配盈餘時，除依第二項規定計算外，如有當年度轉入之保留盈餘或當年度稅後盈餘不足提列之其他股東權益減項金額，仍應依法令之規定自轉入之保留盈餘或上一年度累積未分配盈餘提列或補列特別盈餘公積後，始得分派盈餘。","",
"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1109 - 信大","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/30","111/06/22","      2,014,420,295","        862,861,144","      2,772,956,682","      2,260,019,880","1.50000000","0.0","0.0","        512,936,802","0.0","0.0","0.0","                  0","本公司係屬成熟期產業，有關股利之分派，除有未來公司發展之資本支出或財務規劃等實際需要外，其現金股利部分以不低於當年度股東紅利之百分之十為原則。","",
"1110 - 東泥","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/15","111/06/28","        169,392,565","        139,985,041","        295,602,449","        181,202,290","0.20000000","0.0","0.0","        114,400,159","0.0","0.0","0.0","                  0","本公司年度總決算如有盈餘，應先繳納稅捐、
彌補以往虧損，次提百分之十為法定盈餘公
積，直至法定盈餘公積已達本公司資本總額時
為止，及依主管機關規定提列或迴轉特別盈餘
公積後，其餘額併同以前年度累積未分配盈餘
暨本年度未分配盈餘調整數後，作為可供分配
之盈餘，由董事會擬具盈餘分配案，提請股東
會決議後分派股東紅利。
本公司股利，應參酌所營事業景氣變化之特
性，考量各項產品或服務所處生命週期對未來
資金之需求與長期財務規劃，在維持穩定股利
之目標下，分配股東紅利全數以配發現金股利
為原則，但若公司有產能擴充、改善財務結
構、重大投資計劃等資金需求時，則以百分之
五十以上為股票股利，其餘為現金股利。","",
"1201 - 味全","董事會決議","110年 年度","110/01/01~110/12/31","1","111/03/23","不適用","        746,366,814","        507,002,324","      1,161,101,363","        907,563,843","0.50100000","0.0","0.0","        253,537,520","0.0","0.0","0.0","                  0","本公司為傳統精緻產業，每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十為法定盈餘公積，其次再依法提撥或迴轉特別盈餘公積後，如尚有盈餘，連同上一年度累積未分派盈餘，由董事會擬具盈餘分派或保留盈餘議案，提請股東會決議。股利之分派，以各股東持有股份之比例為準。
本公司應考量配合投資發展、評估投資環境並兼顧股東利益，每年以不低於當期淨利百分之五十分派股東股利。惟每年本期淨利低於實收資本總額百分之五時，得不分派；分派股東股利時，以現金或股票方式為之，其中現金股利不得低於股利總數之百分之五十。
本公司董事會得以三分之二以上董事之出席，及出席董事過半數之決議，將應分派股利之全部或一部，以發放現金之方式為之，並報告股東會。","無",
"1203 - 味王","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/30","111/06/22","        814,792,350","        447,877,475","      1,196,507,860","        932,507,860","1.10000000","0.0","0.0","        264,000,000","0.0","0.0","0.0","                  0","本公司所處產業環境多變，企業生命週期正值穩定成長階段，考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十法定盈餘公積及依證券交易法規定應提列之特別盈餘公積，如尚有餘，得視當年度實際獲利及資金情況，經董事會決議通過後報股東會決議分派股東紅利。","",
"1210 - 大成","現金股利經董事會決議、增資配股經股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/25","111/06/17","      2,241,532,442","      1,869,385,064","      3,926,256,969","      2,221,938,450","1.50000000","0.0","0.0","      1,278,238,889","0.50000000","0.0","0.0","         42,607,963","本公司年度總決算如有盈餘，應先提繳稅款、彌補歷年累積虧損，次提
10%為法定盈餘公積，並依法令或主管機關規定提撥或迴轉特別盈餘公
積，如尚有盈餘，其餘額再加計以前年度累積未分配盈餘由董事會擬具
分派議案，以發行新股方式為之時，應提請股東會決議後分派之。本公
司依公司法第二百四十條第五項規定，授權董事會以三分之二以上董事
之出席，及出席董事過半數之決議，將應分派股息及紅利或公司法第二
百四十一條第一項規定之法定盈餘公積及資本公積之全部或一部，以發
放現金之方式為之，並報告股東會。惟此項盈餘提供分派之比率及股東
現金股利之比率，得視當年度實際獲利及資金狀況，經股東會決議調整
之。股東股利:其中現金股利不得低於股利總數之百分之十，但現金股利
每股若低於 0.1 元則不予發放，改以股票股利發放。如有前一年度累積
或當年度發生但當年度稅後盈餘不足提列之股東權益減項，應自前一年
度累積未分配盈餘提列相同數額之特別盈餘公積，並於提撥供分派前先
行扣除。","",
"1213 - 大飲","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/15","111/06/01","       -107,160,596","        -94,436,408","       -201,597,004","       -201,597,004","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司每年決算如有盈虧，除儘先彌補以往年
度虧損外，應於完納稅捐以後先提百分之十法
定盈餘公積，但法定盈餘公積已達公司資本總
額時，不在此限。
另依相關法令規定提列或迴轉特別盈餘公積
後，將其餘額加計以前年度累積未分配盈餘，
由董事會視實際需要保留全部或部分盈餘擬具
分配議案，提請股東會決議分配之。
本公司屬傳統產業，企業生命週期已進入「成
熟期」較適合採取穩定之股利政策，未來三年
之股利率預計在2％~5％之間，若當年度無重
大擴充計劃，擬以配發股票股利為原則。","",
"1215 - 卜蜂","現金股利經董事會決議、增資配股經股東會確認","110年 年度","110/01/01~110/12/31","1","111/05/09","111/06/23","      1,962,322,098","      1,355,651,850","      3,195,714,369","      2,123,750,375","3.00000000","0.0","0.0","        803,972,994","1.00000000","0.0","0.0","         26,799,100","本公司所處產業正值穩定成長階段，考量本公司資金需求及滿足股東對現金流入之需求，本公司每年度決算如有盈餘時，應依法提繳稅捐、彌補虧損，次提百分之十為法定盈餘公積。但法定盈餘公積，已達實收資本額時，不在此限。另依法令或主管機關規定提列或迴轉特別盈餘公積後，其餘額加計以前年度累積未分配盈餘數，由董事會擬具分派議案。其中現金股利不得低於分派股利總數之百分之十，惟每股現金股利低於新台幣○‧一元時，則將現金股利改以股票股利發放之。
本公司董事會以三分之二以上董事之出席及出席董事過半數之決議，將應分派股息及紅利或公司法第二百四十一條第一項規定之法定盈餘公積及資本公積之全部或一部，以發放現金之方式為之，並報告股東會；以發行新股方式為之時，應提請股東會決議後分派之。","",
"1216 - 統一","股東會確認","110年 年度","110/01/01~110/12/31","1","111/03/09","111/05/31","     12,137,214,826","     19,879,061,609","     28,419,896,753","     13,078,455,116","2.70000000","0.0","0.0","     15,341,441,637","0.0","0.0","0.0","                  0","股東紅利應為累積可分配盈餘之50%至100%，現金股利比率不低於當年度股利分配總額之30%","",
"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
