"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1101 - 台泥","股東會確認","114年 年度","114/01/01~114/12/31","1","115/03/11","115/05/22","     25,864,002,647","    -11,617,608,337","     15,455,807,487","     15,050,557,487","0.0","0.0","0.80000000","      5,994,545,394","0.0","0.0","0.0","                  0","第二十六條：本公司每年決算所得純益，除依法提繳所得稅，彌補累積虧損，次提撥百分之十為法定盈餘公積，但法定盈餘公積已達本公司實收資本總額時，得不再提撥，其餘加計累積未分配盈餘，必要時得依相關法令規定提撥或迴轉特別盈餘公積或酌予保留盈餘後，就其餘額於依本章程第五條之一規定分派特別股股息後，再予分派普通股股利，分派比率依本條第二項之股利政策由董事會擬訂盈餘分派案提請股東會決議後分派之。
本公司除從事資本密集、較為成熟穩定之水泥及水泥製品產銷外，並積極朝向多角化經營。為配合多元化發展投資需要或重大之資本預算規劃，訂定現金股利支付比率為普通股股利之百分之二十以上，餘額配發股票股利。
第二十七條：本公司得將公積依公司法之規定，按股東原有股份之比例發給新股或現金。","",
"1101B - 台泥乙特","股東會確認","114年 年度","114/01/01~114/12/31","1","115/03/11","115/05/22","     25,864,002,647","    -11,617,608,337","     15,455,807,487","     15,050,557,487","2.02625000","0.0","0.0","        405,250,000","0.0","0.0","0.0","                  0","1.本公司特別股之權利義務及其他重要發行 條件如下： (1)特別股股息以年率百分之八為上限，按每 股發行價格計算，股息每年以現金一次發放， 於每年股東常會承認財務報告及盈餘分派議案 後，由董事會訂定基準日支付前一年度得發放 之股息。發行年度及收回年度股息之發放，按 當年度實際發行日數計算，發行日定義為發行 本特別股之增資基準日。 (2)本公司對特別股之股息分派具自主裁量權 ，得經股東會決議不分派特別股股息。倘年度 決算無盈餘或經股東會決議不分派股息，其未 分派之股息不累積於以後有盈餘年度遞延償付 (3)特別股股東除領取本項第二款所述之股息 外，不得參與普通股關於盈餘及資本公積為現 金及撥充資本之分派。 2.本公司每年決算所得純益，除依法提繳所得 稅，彌補累積虧損，次提撥百分之十為法定盈 餘公積，但法定盈餘公積已達本公司實收資本 總額時，得不再提撥，其餘加計累積未分配盈 餘，必要時得依相關法令規定提撥或迴轉特別 盈餘公積或酌予保留盈餘後，就其餘額於依本 章程第五條之一規定分派特別股股息後，再予 分派普通股股利，分派比率依本條第二項之股 利政策由董事會擬訂盈餘分派案提請股東會決 議。","",
"1102 - 亞泥","董事會決議","115年 第1季","115/01/01~115/03/31","1","115/05/13","不適用","     26,114,162,287","                  0","     26,114,162,287","     26,114,162,287","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之。盈餘分派以現金發放者，依公司法第二百二十八條之一及第二百四十條第五項規定由董事會決議辦理，並報告股東會。
本公司分派前三季盈餘時，應先預估並保留應納稅捐、員工酬勞及董事酬勞，依法彌補虧損及提列法定盈餘公積。但法定盈餘公積已達實收資本額時，得不再提列。
本公司每年決算如有盈餘，於依法繳納營利事業所得稅後，該本期稅後淨利加計本期稅後淨利以外項目計入當年度未分配盈餘之數額後，應先彌補虧損，如尚有盈餘，再提列法定盈餘公積百分之十，但法定盈餘公積已達實收資本額時，得不再提列，並依法令規定提列特別盈餘公積後，連同期初未分配盈餘，作為可供分配之盈餘，惟得視業務狀況酌予保留一部份後，按全部股份平均分派股東紅利，但遇增加資本時，其當年度新增股份應分派之紅利，依照股東會之決議辦理。
本公司將公積全部或一部以現金分派者，得由董事會依公司法第二百四十一條規定決議辦理，並報告股東會。
本公司股利應參酌所營事業景氣變化之特性，考量各項產品或服務所處生命週期對未來資金之需求與稅制之影響，在維持股利穩定之目標下分派之。股利之發放，除有改善財務結構及支應轉投資、產能擴充或其他重大資本支出等資金需求外，不低於當年度稅後淨利扣除彌補虧損金額、法定盈餘公積及特別盈餘公積後餘額之百分之五十，其現金股利部分不低於當年度股東紅利之百分之十。","無",
"1102 - 亞泥","董事會決議","114年 第4季","114/10/01~114/12/31","1","115/03/11","不適用","     24,014,648,749","     10,029,822,640","     32,453,856,461","     24,296,761,835","2.30000000","0.0","0.0","      8,157,094,626","0.0","0.0","0.0","                  0","本公司盈餘分派或虧損撥補，得於每季終了後為之。盈餘分派以現金發放者，依公司法第二百二十八條之一及第二百四十條第五項規定由董事會決議辦理，並報告股東會。
本公司分派前三季盈餘時，應先預估並保留應納稅捐、員工酬勞及董事酬勞，依法彌補虧損及提列法定盈餘公積。但法定盈餘公積已達實收資本額時，得不再提列。
本公司每年決算如有盈餘，於依法繳納營利事業所得稅後，該本期稅後淨利加計本期稅後淨利以外項目計入當年度未分配盈餘之數額後，應先彌補虧損，如尚有盈餘，再提列法定盈餘公積百分之十，但法定盈餘公積已達實收資本額時，得不再提列，並依法令規定提列特別盈餘公積後，連同期初未分配盈餘，作為可供分配之盈餘，惟得視業務狀況酌予保留一部份後，按全部股份平均分派股東紅利，但遇增加資本時，其當年度新增股份應分派之紅利，依照股東會之決議辦理。
本公司將公積全部或一部以現金分派者，得由董事會依公司法第二百四十一條規定決議辦理，並報告股東會。
本公司股利應參酌所營事業景氣變化之特性，考量各項產品或服務所處生命週期對未來資金之需求與稅制之影響，在維持股利穩定之目標下分派之。股利之發放，除有改善財務結構及支應轉投資、產能擴充或其他重大資本支出等資金需求外，不低於當年度稅後淨利扣除彌補虧損金額、法定盈餘公積及特別盈餘公積後餘額之百分之五十，其現金股利部分不低於當年度股東紅利之百分之十。","1.如因除息基準日前依證交法第28條之2及
其他法令規定，而影響流通在外股數時，擬
由本次董事會授權董事長依本次盈餘分配案
決議之現金股利之金額，按除息基準日實際
流通在外股數，調整股東配息率。
2.擬由本次董事會授權董事長另訂定除息基準日分配之。",
"1103 - 嘉泥","股東會確認","114年 年度","114/01/01~114/12/31","1","115/04/10","115/05/22","      4,888,259,790","        556,262,273","      5,390,566,588","      4,956,796,186","0.55000000","0.0","0.0","        433,770,402","0.0","0.0","0.0","                  0","本公司每年決算如有當期稅後盈餘，除依法彌補累積虧損、提列法定盈餘公積外，另依法令規定提列或迴轉特別盈餘公積，並連同當期未分配盈餘調整數額，作為當期可供分派盈餘，加計期初未分配盈餘後，由董事會依據本條第四項及第五項之股利政策擬定盈餘分派案，提請股東會決議。
本公司採剩餘股利政策，於考量未來年度之資本支出預算及資金需求情形，得保留相當之數額；保留後如有餘額，再行分派股東紅利。
本公司股東紅利之分派，每年以現金分派之數額，為當年度股東紅利分派總額之百分之十以上，餘額配發股票股利。","",
"1104 - 環泥","股東會確認","114年 年度","114/01/01~114/12/31","1","115/03/10","115/05/26","      6,724,748,097","      1,756,478,228","      8,305,578,502","      7,035,217,142","1.85000000","0.0","0.0","      1,270,361,360","0.0","0.0","0.0","                  0","本公司年度決算如有盈餘，依法繳納稅捐，彌補累積虧損後，再提10%為法定盈餘公積，但法定盈餘公積已達本公司實收資本額時，得不再提列，其餘再依法令規定提列或迴轉特別盈餘公積；如尚有餘額，併同累積未分配盈餘，由董事會擬具盈餘分配議案，提請股東會決議分派股東股息紅利。
本公司所處傳統產業環境正值穩定期，高科技產業環境正值萌芽期，考量本公司未來資金需求及長期財務規劃，股東紅利之分派原則全數採用現金股利發放，但遇有資金較大需求之年度時，得採股票股利與現金股利二種方式配合發放，其中股票股利所占比率不高於股東紅利總額百分之五十。
前項股利分派比率，得視公司年度獲利情形及資金需求，經股東會決議調整之。","",
"1108 - 幸福","董事會擬議","114年 下半年","114/07/01~114/12/31","1","115/03/16","115/06/29","        442,799,292","        880,656,687","      1,228,669,261","        823,931,212","1.00000000","0.0","0.0","        404,738,049","0.0","0.0","0.0","                  0","為考量本公司未來資金需求及長期財務規劃，並
滿足股東對現金流入之需求，本公司每年度決算
後如有當期淨利，除彌補虧損外，應先提撥百分
之十為法定盈餘公積及就當年度發生之帳列其他
股東權益減項淨額提列特別盈餘公積，其餘額連
同上一年度累積未分配盈餘及當年度未分配盈餘
調整數額合計數提撥百分之四十至八十為原則，
如以上限百分之八十計算後每股分配之股利金額
仍未滿新台幣一角者，得予保留不分配，餘由董
事會擬定分配議案，提請股東會承認之。
前項盈餘提撥分派之比率及股票現金之比率得由
董事會視當年度實際獲利及資金狀況，並考量投
資資金需求及對每股盈餘之稀釋程度，適度採現
金股利或股票股利方式發放。但配發股票股利以
不超過已發行股本百分之二十為限。
本公司於分派可分配盈餘時，除依第二項規定計
算外，如有當年度轉入之保留盈餘或當年度稅後
盈餘不足提列之其他股東權益減項金額，仍應依
法令之規定自轉入之保留盈餘或上一年度累積未
分配盈餘提列或補列特別盈餘公積後，始得分派
盈餘。","無",
"1109 - 信大","董事會擬議","114年 年度","114/01/01~114/12/31","1","115/03/12","115/06/16","      2,792,628,555","        351,162,294","      3,129,921,847","      2,822,878,866","0.90000000","0.0","0.0","        307,042,981","0.0","0.0","0.0","                  0","第二十六條：本公司每年如有獲利應提撥百分之一至百分之三為員工酬勞及不逾百分之五為董事酬勞。員工酬勞及董事酬勞由董事會決議，提股東會報告。但公司尚有累積虧損時，應預先保留彌補數額。
前項員工酬勞數額中，應提撥不低於50%為基層員工分派酬勞或調整薪資。
基層員工定義： 前項基層員工係指非屬經理人，且薪資水準低於本公司依產業特性與營運狀況自行訂定之合理基準者，若有特殊情形需將基層員工範圍擴大至控制或從屬公司（如子公司）之員工，應由董事會依實際需要訂定條件，並提股東會決議。","無",
"1110 - 東泥","董事會擬議","114年 年度","114/01/01~114/12/31","1","115/03/11","115/06/18","        414,648,985","        205,528,358","        642,939,027","        471,338,788","0.30000000","0.0","0.0","        171,600,239","0.0","0.0","0.0","                  0","本公司年度總決算如有盈餘，應先繳納稅捐、彌補以往虧損，次提百分之十為法定盈餘公積，直至法定盈餘公積已達本公司實收資本額時為止，及依主管機關規定提列或迴轉特別盈餘公積後，其餘額併同以前年度累積未分配盈餘暨本年度未分配盈餘調整數後，作為可供分配之盈餘，由董事會擬具盈餘分配案，提請股東會決議後分派股東紅利。
本公司股利，應參酌所營事業景氣變化之特性，考量各項產品或服務所處生命週期對未來資金之需求與長期財務規劃，在維持穩定股利之目標下，除有資金需求外，每年度實際分派之盈餘，不低於當年度稅後淨利扣除彌補虧損金額、法定盈餘公積及特別盈餘公積後餘額之百分之五十，其中股東現金紅利部份不低於股東紅利百分之五十。","無",
"1201 - 味全","董事會決議","114年 年度","114/01/01~114/12/31","1","115/03/13","不適用","      1,482,978,729","        203,055,581","      1,640,098,914","      1,533,825,702","0.21000000","0.0","0.0","        106,273,212","0.0","0.0","0.0","                  0","本公司為傳統精緻產業，每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十為法定盈餘公積，其次再依法提撥或迴轉特別盈餘公積後，如尚有盈餘，連同上一年度累積未分派盈餘，由董事會擬具盈餘分派或保留盈餘議案，提請股東會決議。股利之分派，以各股東持有股份之比例為準。
本公司應考量配合投資發展、評估投資環境並兼顧股東利益，每年以不低於當期淨利百分之五十分派股東股利。惟每年本期淨利低於實收資本總額百分之五時，得不分派；分派股東股利時，以現金或股票方式為之，其中現金股利不得低於股利總數之百分之五十。
本公司董事會得以三分之二以上董事之出席，及出席董事過半數之決議，將應分派股利之全部或一部，以發放現金之方式為之，並報告股東會。","無。",
"1203 - 味王","董事會擬議","114年 年度","114/01/01~114/12/31","1","115/03/27","115/06/24","      1,654,541,736","        430,560,045","      2,078,379,402","      1,838,379,402","1.00000000","0.0","0.0","        240,000,000","0.0","0.0","0.0","                  0","本公司所處產業環境多變，企業生命週期正值穩定成長階段，考量本公司未來資金需求及長期財務規劃，並滿足股東對現金流入之需求，本公司每年決算後如有盈餘，除依法繳納營利事業所得稅及彌補以往年度虧損外，應先提撥百分之十法定盈餘公積及依證券交易法規定應提列之特別盈餘公積，如尚有餘，得視當年度實際獲利及資金情況，經董事會決議通過後報股東會決議分派股東紅利。","無",
"面額新台幣10元之公司"
"因應主管機關函令，上市(櫃)及興櫃公司110年原訂5月24日至6月30日股東會，延至110年7月至8月間召開，延期召開股東會日期彙總表，請至110年7月及8月「股東會及除權息日曆」查詢。"
"公司代號名稱","決議（擬議）進度","股利所屬年(季)度","股利所屬期間","期別","董事會（擬擬議）股利分派日","股東會日期","期初未分配盈餘/待彌補虧損(元)","本期淨利(淨損)(元)","可分配盈餘(元)","分配後期末未分配盈餘(元)","股東配發-盈餘分配之現金股利(元/股)","股東配發-法定盈餘公積發放之現金(元/股)","股東配發-資本公積發放之現金(元/股)","股東配發-股東配發之現金(股利)總金額(元)","股東配發-盈餘轉增資配股(元/股)","股東配發-法定盈餘公積轉增資配股(元/股)","股東配發-資本公積轉增資配股(元/股)","股東配發-股東配股總股數(股)","股利分派之公司章程","備註",
"1210 - 大成","董事會決議","114年 年度","114/01/01~114/12/31","1","115/03/11","不適用","      5,204,262,137","      3,624,189,380","      8,451,299,806","      5,766,998,140","3.00000000","0.0","0.0","      2,684,301,666","0.0","0.0","0.0","                  0","本公司年度總決算如有盈餘，應先提繳稅款、彌補歷年累積虧損，次提
10%為法定盈餘公積，並依法令或主管機關規定提撥或迴轉特別盈餘公
積，如尚有盈餘，其餘額再加計以前年度累積未分配盈餘由董事會擬具
分派議案，以發行新股方式為之時，應提請股東會決議後分派之。本公
司依公司法第二百四十條第五項規定，授權董事會以三分之二以上董事
之出席，及出席董事過半數之決議，將應分派股息及紅利或公司法第二
百四十一條第一項規定之法定盈餘公積及資本公積之全部或一部，以發
放現金之方式為之，並報告股東會。惟此項盈餘提供分派之比率及股東
現金股利之比率，得視當年度實際獲利及資金狀況，經股東會決議調整
之。股東股利:其中現金股利不得低於股利總數之百分之十，但現金股利
每股若低於 0.1 元則不予發放，改以股票股利發放。如有前一年度累積
或當年度發生但當年度稅後盈餘不足提列之股東權益減項，應自前一年
度累積未分配盈餘提列相同數額之特別盈餘公積，並於提撥供分派前先
行扣除。","無",
"1213 - 大飲","董事會擬議","114年 年度","114/01/01~114/12/31","1","115/03/11","115/06/09","         81,886,898","        -48,380,136","         33,521,097","         33,521,097","0.0","0.0","0.0","                  0","0.0","0.0","0.0","                  0","本公司每年決算如有盈虧，除儘先彌補以往年度虧損外，應於完納稅捐以後先提百分之十法定盈餘公 積，但法定盈餘公積已達公司資本總額時，不在此限。 另依相關法令規定提列或迴轉特別盈餘公積後，將其餘額加計以前年度累積未分配盈餘，由董事會視 實際需要保留全部或部分盈餘擬具分配議案，提請股東會決議分配之。 本公司屬傳統產業，企業生命週期已進入「成熟期」較適合採取穩定之股利政策，未來三年之股利 率預計在2％~5％之間，若當年度無重大擴充計劃，擬以配發股票股利為原則。","無",
"1215 - 卜蜂","董事會決議","114年 年度","114/01/01~114/12/31","1","115/02/25","不適用","      3,378,845,503","      3,063,774,931","      6,154,363,117","      4,090,832,431","7.00000000","0.0","0.0","      2,063,530,686","0.0","0.0","0.0","                  0","本公司所處產業正值穩定成長階段，考量本公司資金需求及滿足股東對現金流入之需求，本公司每年度決算如有盈餘時，應依法提繳稅捐、彌補虧損，次提百分之十為法定盈餘公積。但法定盈餘公積，已達實收資本額時，不在此限。另依法令或主管機關規定提列或迴轉特別盈餘公積後，其餘額加計以前年度累積未分配盈餘數，由董事會擬具分派議案。其中現金股利不得低於分派股利總數之百分之十，惟每股現金股利低於新台幣○‧一元時，則將現金股利改以股票股利發放之。
本公司董事會以三分之二以上董事之出席及出席董事過半數之決議，將應分派股息及紅利或公司法第二百四十一條第一項規定之法定盈餘公積及資本公積之全部或一部，以發放現金之方式為之，並報告股東會；以發行新股方式為之時，應提請股東會決議後分派之。","無",
"1216 - 統一","董事會擬議","114年 年度","114/01/01~114/12/31","1","115/03/05","115/05/28","     20,651,197,402","     19,627,594,056","     39,005,916,853","     21,959,870,590","3.00000000","0.0","0.0","     17,046,046,263","0.0","0.0","0.0","                  0","股東紅利應為本期可分配盈餘之50%(含)以上，現金股利比率不低於當年度股利分配總額之30%","無",
